fixture_id,league_id,season,date,home_team_id,away_team_id,home_team_name,away_team_name,goals_home,goals_away,score_p1_home,score_p1_away,score_p2_home,score_p2_away,score_p3_home,score_p3_away,score_ot_home,score_ot_away,score_pen_home,score_pen_away,status_short,created_at,reg_goals_home,reg_goals_away,target,home_elo,away_elo,elo_diff,home_rolling_goals,home_rolling_conceded,home_btts_rate,home_rest_days,away_rolling_goals,away_rolling_conceded,away_btts_rate,away_rest_days,form_diff,defensive_diff,btts_interaction,rest_diff
194132,146,2022,2022-09-01 17:30:00,502,181,Slovan Bratislava,Tappara,2,5,0,1,0,3,2,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,5,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194142,146,2022,2022-09-01 18:00:00,553,253,Rapperswil,Munchen,1,4,1,1,0,2,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,1,4,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194179,146,2022,2022-09-01 18:00:00,549,171,Fribourg,Ilves,3,2,1,0,1,2,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,3,2,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194197,146,2022,2022-09-01 18:15:00,239,248,Grenoble,Eisbaren Berlin,2,8,1,2,0,5,1,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,8,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194136,146,2022,2022-09-01 18:20:00,751,349,Salzburg,Stavanger,3,2,0,0,1,0,1,2,1,0,0,0,AOT,2026-01-02 16:14:47.584824,2,2,1,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194160,146,2022,2022-09-02 15:00:00,135,592,Trinec,Belfast,4,0,1,0,0,0,3,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,4,0,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194135,146,2022,2022-09-02 15:35:00,543,548,Skellefteå,Davos,2,3,1,1,1,1,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,3,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194165,146,2022,2022-09-02 16:00:00,180,507,TPS Turku,HK Olimpija,3,2,0,0,3,1,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,3,2,2,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194208,146,2022,2022-09-02 16:05:00,173,538,Jukurit,Luleå,2,5,0,1,1,3,1,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,5,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194129,146,2022,2022-09-02 17:30:00,134,154,Sparta Prague,Aalborg,2,3,1,0,1,2,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,3,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194202,146,2022,2022-09-02 18:15:00,355,256,Krakow,Straubing Tigers,0,4,0,0,0,3,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,4,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
194217,146,2022,2022-09-02 18:15:00,249,555,Grizzly Wolfsburg,Zug,2,5,0,1,2,3,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,5,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
