api_name,csv_name,league,confidence
Marseille,Marseille,F1,100
Chateauroux,Chateauroux,F2,100
Le Mans,Le Mans,F2,100
Sedan,Sedan,F2,100
Reims,Reims,F2,100
Le Havre,Le Havre,F2,100
Evian Thonon Gaillard,Evian Thonon Gaillard,F2,100
Istres,Istres,F2,100
Nantes,Nantes,F2,100
Nimes,Nimes,F2,100
Clermont,Clermont,F2,100
Vannes,Vannes,F2,100
Grenoble,Grenoble,F2,100
Laval,Laval,F2,100
Boulogne,Boulogne,F2,100
Dijon,Dijon,F2,100
Angers,Angers,F2,100
Troyes,Troyes,F2,100
Metz,Metz,F2,100
Ajaccio,Ajaccio,F2,100
Tours,Tours,F2,100
Atromitos,Atromitos,G1,100
Ergotelis,Ergotelis,G1,100
Aris,Aris,G1,100
Panserraikos,Panserraikos,G1,100
Asteras Tripolis,Asteras Tripolis,G1,100
Olympiakos Volou,Olympiakos Volou,G1,100
Kavala,Kavala,G1,100
Kerkyra,Kerkyra,G1,100
Larisa,Larisa,G1,100
Xanthi,Xanthi,G1,100
Panathinaikos,Panathinaikos,G1,100
Iraklis,Iraklis,G1,100
PAOK,PAOK,G1,100
Olympiakos,Olympiakos,G1,100
Panionios,Panionios,G1,100
AEK,AEK,G1,100
Inter,Inter,I1,100
Chievo,Chievo,I1,100
Lazio,Lazio,I1,100
Catania,Catania,I1,100
Genoa,Genoa,I1,100
Parma,Parma,I1,100
Bologna,Bologna,I1,100
Cesena,Cesena,I1,100
Bari,Bari,I1,100
Cagliari,Cagliari,I1,100
Palermo,Palermo,I1,100
Sampdoria,Sampdoria,I1,100
Lecce,Lecce,I1,100
Fiorentina,Fiorentina,I1,100
Brescia,Brescia,I1,100
Napoli,Napoli,I1,100
Milan,Milan,I1,100
Juventus,Juventus,I1,100
Udinese,Udinese,I1,100
Roma,Roma,I1,100
Empoli,Empoli,I2,100
Sassuolo,Sassuolo,I2,100
Cittadella,Cittadella,I2,100
Albinoleffe,Albinoleffe,I2,100
Reggina,Reggina,I2,100
Piacenza,Piacenza,I2,100
Padova,Padova,I2,100
Siena,Siena,I2,100
Vicenza,Vicenza,I2,100
Grosseto,Grosseto,I2,100
Crotone,Crotone,I2,100
Portogruaro,Portogruaro,I2,100
Torino,Torino,I2,100
Varese,Varese,I2,100
Atalanta,Atalanta,I2,100
Ascoli,Ascoli,I2,100
Pescara,Pescara,I2,100
Novara,Novara,I2,100
Triestina,Triestina,I2,100
Modena,Modena,I2,100
Frosinone,Frosinone,I2,100
Livorno,Livorno,I2,100
NAC Breda,NAC Breda,N1,100
Ajax,Ajax,N1,100
Excelsior,Excelsior,N1,100
Heracles,Heracles,N1,100
Willem II,Willem II,N1,100
Groningen,Groningen ,N1,100
Graafschap,Graafschap,N1,100
Groningen,Groningen,N1,100
Nijmegen,Nijmegen,N1,100
Feyenoord,Feyenoord,N1,100
Roda,Roda,N1,100
Ajax,Ajax ,N1,100
VVV Venlo,VVV Venlo,N1,100
Heracles,Heracles ,N1,100
AZ Alkmaar,AZ Alkmaar,N1,100
Graafschap,Graafschap ,N1,100
Vitesse,Vitesse ,N1,100
Heerenveen,Heerenveen,N1,100
Willem II,Willem II ,N1,100
Utrecht,Utrecht ,N1,100
Roda,Roda ,N1,100
Twente,Twente,N1,100
Vitesse,Vitesse,N1,100
Den Haag,Den Haag,N1,100
Utrecht,Utrecht,N1,100
Feyenoord,Feyenoord ,N1,100
PSV Eindhoven,PSV Eindhoven,N1,100
Porto,Porto,P1,100
Nacional,Nacional,P1,100
Guimaraes,Guimaraes,P1,100
Maritimo,Maritimo,P1,100
Setubal,Setubal,P1,100
Olhanense,Olhanense,P1,100
Portimonense,Portimonense,P1,100
Sp Braga,Sp Braga,P1,100
Pacos Ferreira,Pacos Ferreira,P1,100
Benfica,Benfica,P1,100
